,side_effect_name,stitch_id_flat
0,5'nucleotidase increased,1
1,AIDS dementia complex,1
2,Abasia,2
3,Abdominal abscess,2
4,Abdominal adhesions,1
5,Abdominal discomfort,362
6,Abdominal distension,384
7,Abdominal hernia,1
8,Abdominal infection,1
9,Abdominal injury,1
10,Abdominal neoplasm,2
11,Abdominal pain,1009
12,Abdominal pain lower,47
13,Abdominal pain upper,303
14,Abdominal rigidity,4
15,Abdominal sepsis,1
16,Abdominal strangulated hernia,1
17,Abdominal symptom,5
18,Abdominal tenderness,30
19,Abdominal wall abscess,1
20,Abnormal behaviour,45
21,Abnormal clotting factor,1
22,Abnormal dreams,167
23,Abnormal faeces,35
24,Abnormal labour,4
25,Abnormal sensation in eye,17
26,Abnormal sleep-related event,1
27,Abnormal withdrawal bleeding,7
28,Abortion,6
29,Abortion incomplete,1
30,Abortion infected,1
31,Abortion missed,3
32,Abortion spontaneous,17
33,Abscess,117
34,Abscess limb,3
35,Abscess sterile,1
36,Acanthosis nigricans,1
37,Acarodermatitis,2
38,Accident,1
39,Accident at home,1
40,Accidental exposure to product,8
41,Accidental overdose,5
42,Accommodation disorder,74
43,Acetonaemia,1
44,Acidosis,69
45,Acidosis hyperchloraemic,2
46,Acne,146
47,Acne cystic,2
48,Acne fulminans,1
49,Acne infantile,1
50,Acne pustular,1
51,Acquired haemophilia,2
52,Acquired immunodeficiency syndrome,17
53,Acquired lipoatrophic diabetes,1
54,Acrochordon,2
55,Acrodynia,1
56,Acromegaly,1
57,Actinic keratosis,6
58,Action tremor,4
59,Activated partial thromboplastin time prolonged,16
60,Activated partial thromboplastin time shortened,1
61,Activation syndrome,1
62,Acute abdomen,6
63,Acute coronary syndrome,359
64,Acute disseminated encephalomyelitis,1
65,Acute febrile neutrophilic dermatosis,10
66,Acute generalised exanthematous pustulosis,24
67,Acute graft versus host disease,2
68,Acute hepatic failure,19
69,Acute interstitial pneumonitis,7
70,Acute leukaemia,40
71,Acute lymphocytic leukaemia,6
72,Acute myeloid leukaemia,17
73,Acute myocardial infarction,22
74,Acute phase reaction,4
75,Acute phosphate nephropathy,2
76,Acute prerenal failure,3
77,Acute promyelocytic leukaemia,2
78,Acute promyelocytic leukaemia differentiation syndrome,2
79,Acute psychosis,11
80,Acute pulmonary oedema,9
81,Acute respiratory distress syndrome,41
82,Acute respiratory failure,4
83,Acute sinusitis,8
84,Acute stress disorder,1
85,Acute tonsillitis,5
86,Acute yellow liver atrophy,6
87,Adams-Stokes syndrome,3
88,Addison's disease,6
89,Adenocarcinoma,9
90,Adenocarcinoma pancreas,1
91,Adenoma benign,9
92,Adenomyosis,1
93,Adenovirus infection,1
94,Adhesion,1
95,Adjustment disorder,4
96,Administration site infection,6
97,Administration site reaction,11
98,Adnexa uteri cyst,1
99,Adnexa uteri mass,1
100,Adnexa uteri pain,2
101,Adnexal torsion,4
102,Adrenal atrophy,1
103,Adrenal disorder,3
104,Adrenal gland cancer,1
105,Adrenal haemorrhage,3
106,Adrenal insufficiency,26
107,Adrenergic syndrome,2
108,Adrenocortical insufficiency acute,7
109,Adverse reaction,7
110,Aerophagia,1
111,Affect lability,258
112,Affective disorder,16
113,Ageusia,116
114,Aggression,146
115,Agitation,687
116,Agitation postoperative,1
117,Agnosia,1
118,Agoraphobia,2
119,Agranulocytosis,359
120,Airway complication of anaesthesia,3
121,Akathisia,80
122,Akinaesthesia,1
123,Akinesia,30
124,Alanine aminotransferase abnormal,1
125,Alanine aminotransferase decreased,1
126,Alanine aminotransferase increased,292
127,Alanine aminotransferase normal,1
128,Albinism,2
129,Albumin globulin ratio abnormal,3
130,Albumin urine present,4
131,Albuminuria,105
132,Alcohol abuse,17
133,Alcohol intolerance,38
134,Alcohol poisoning,4
135,Alcohol problem,1
136,Alcohol withdrawal syndrome,2
137,Alcoholic pancreatitis,2
138,Alcoholic psychosis,1
139,Alcoholism,10
140,Alkalosis,14
141,Alkalosis hypochloraemic,3
142,Alkalosis hypokalaemic,16
143,Allergic conditions,7
144,Allergic granulomatous angiitis,4
145,Allergic hepatitis,1
146,Allergic oedema,10
147,Allergic sinusitis,2
148,Allodynia,1
149,Alopecia,491
150,Altered state of consciousness,60
151,Altered visual depth perception,3
152,Alveolar osteitis,4
153,Alveolar proteinosis,2
154,Alveolitis,12
155,Alveolitis allergic,29
156,Amaurosis,3
157,Amaurosis fugax,2
158,Amblyopia,108
159,Amenorrhoea,130
160,Aminoaciduria,3
161,Ammonia increased,2
162,Amnesia,235
163,Amnestic symptoms,1
164,Amniotic cavity infection,1
165,Amylase decreased,1
166,Amylase increased,76
167,Amyloidosis,4
168,Anaemia,561
169,Anaemia macrocytic,10
170,Anaemia megaloblastic,28
171,Anaemia neonatal,1
172,Anaemia postoperative,4
173,Anaemia vitamin B12 deficiency,3
174,Anaemias NEC,1
175,Anaemias haemolytic immune,6
176,Anaesthetic complication,1
177,Anaesthetic complication neurological,1
178,Anal abscess,2
179,Anal atresia,1
180,Anal cancer,2
181,Anal candidiasis,1
182,Anal fissure,9
183,Anal fistula,3
184,Anal haemorrhage,5
185,Anal inflammation,2
186,Anal pruritus,21
187,Anal skin tags,1
188,Anal spasm,1
189,Anal sphincter atony,1
190,Analgesic therapy,1
191,Anaphylactic responses,3
192,Anaphylactic shock,851
193,Anaphylactoid reaction,266
194,Anaphylactoid syndrome of pregnancy,3
195,Anaplastic astrocytoma,1
196,Anaplastic large-cell lymphoma,1
197,Anaplastic thyroid cancer,1
198,Anastomotic leak,1
199,Anastomotic ulcer,1
200,Androgenetic alopecia,8
201,Anencephaly,6
202,Aneurysm,14
203,Anger,41
204,Angina pectoris,338
205,Angina unstable,28
206,Angiodermatitis,1
207,Angioedema,571
208,Angioimmunoblastic T-cell lymphoma,1
209,Angiomyolipoma,1
210,Angiopathy,472
211,Angle closure glaucoma,34
212,Anhedonia,1
213,Anhidrosis,7
214,Animal bite,2
215,Animal scratch,1
216,Anion gap increased,1
217,Anisocytosis,2
218,Ankle fracture,1
219,Ankylosing spondylitis,3
220,Anogenital warts,3
221,Anophthalmos,1
222,Anorectal discomfort,89
223,Anorectal disorder,64
224,Anorgasmia,26
225,Anosmia,22
226,Anosognosia,1
227,Anovulatory cycle,5
228,Anoxia,4
229,Anterior chamber cell,2
230,Anterior chamber flare,5
231,Anterior chamber inflammation,6
232,Anterior chamber pigmentation,1
233,Anterior spinal artery syndrome,3
234,Anterograde amnesia,11
235,Anthrax,1
236,Anti-thyroid antibody positive,1
237,Antibody test negative,1
238,Antibody test positive,2
239,Anticholinergic syndrome,4
240,Antidiuretic hormone abnormality,2
241,Antineutrophil cytoplasmic antibody positive,1
242,Antinuclear antibody increased,4
243,Antinuclear antibody positive,33
244,Antisocial behaviour,7
245,Antisocial personality disorder,7
246,Antitussive therapy,1
247,Anuria,41
248,Anxiety,612
249,Anxiety disorder,15
250,Aortic aneurysm,5
251,Aortic aneurysm rupture,1
252,Aortic arteriosclerosis,1
253,Aortic bruit,1
254,Aortic disorder,1
255,Aortic dissection,1
256,Aortic embolus,1
257,Aortic rupture,1
258,Aortic valve incompetence,4
259,Aortic valve sclerosis,1
260,Aortic valve stenosis,10
261,Apathy,90
262,Apgar score low,2
263,Aphagia,3
264,Aphakia,1
265,Aphasia,100
266,Aphonia,8
267,Aphthous stomatitis,61
268,Aplasia,13
269,Aplasia cutis congenita,1
270,Aplasia pure red cell,19
271,Aplastic anaemia,171
272,Apnoea,124
273,Apocrine and eccrine gland disorders,1
274,Apoptosis,1
275,Appendicitis,18
276,Appetite disorder,10
277,Application and instillation site reactions,1
278,Application site anaesthesia,2
279,Application site atrophy,4
280,Application site burn,26
281,Application site cellulitis,1
282,Application site discharge,3
283,Application site discolouration,5
284,Application site discomfort,3
285,Application site dryness,12
286,Application site eczema,3
287,Application site erosion,6
288,Application site erythema,29
289,Application site exfoliation,7
290,Application site folliculitis,1
291,Application site haematoma,3
292,Application site haemorrhage,3
293,Application site hyperaesthesia,2
294,Application site hypersensitivity,5
295,Application site induration,5
296,Application site infection,1
297,Application site inflammation,4
298,Application site irritation,33
299,Application site oedema,8
300,Application site pain,74
301,Application site papules,4
302,Application site paraesthesia,7
303,Application site pruritus,26
304,Application site pustules,1
305,Application site rash,24
306,Application site reaction,54
307,Application site scab,2
308,Application site scar,1
309,Application site swelling,3
310,Application site ulcer,3
311,Application site urticaria,1
312,Application site vesicles,10
313,Application site warmth,6
314,Apraxia,9
315,Arachnoiditis,21
316,Arcus lipoides,2
317,Areflexia,12
318,Argininosuccinate synthetase deficiency,1
319,Arrhythmia,429
320,Arrhythmia supraventricular,55
321,Arterial disorder,1
322,Arterial insufficiency,5
323,Arterial occlusive disease,5
324,Arterial spasm,8
325,Arterial thrombosis,30
326,Arteriosclerosis,17
327,Arteriosclerosis coronary artery,2
328,Arteriosclerotic retinopathy,1
329,Arteriospasm coronary,13
330,Arteriovenous fistula,4
331,Arteriovenous fistula thrombosis,1
332,Arteritis,9
333,Artery dissection,1
334,Arthralgia,649
335,Arthritis,267
336,Arthritis bacterial,4
337,Arthritis infective,2
338,Arthropathy,139
339,Arthropod bite,10
340,Arthropod sting,2
341,Ascariasis,1
342,Ascites,51
343,Asocial behaviour,7
344,Aspartate aminotransferase decreased,1
345,Aspartate aminotransferase increased,298
346,Aspartate aminotransferase normal,2
347,Aspergilloma,1
348,Aspergillus infection,5
349,Aspermia,1
350,Asphyxia,16
351,Aspiration,3
352,Assisted fertilisation,5
353,Asteatosis,2
354,Asterixis,11
355,Asthenia,1513
356,Asthenic conditions,17
357,Asthenopia,16
358,Asthma,311
359,Astrocytoma,2
360,Asymptomatic bacteriuria,1
361,Ataxia,252
362,Atelectasis,40
363,Athetosis,3
364,Atonic urinary bladder,2
365,Atopy,1
366,Atrial fibrillation,230
367,Atrial flutter,46
368,Atrial hypertrophy,1
369,Atrial septal defect,3
370,Atrial tachycardia,7
371,Atrioventricular block,174
372,Atrioventricular block complete,34
373,Atrioventricular block first degree,46
374,Atrioventricular block second degree,31
375,Atrioventricular dissociation,4
376,Atrophic glossitis,1
377,Atrophic vulvovaginitis,8
378,Atrophy,48
379,Attention deficit/hyperactivity disorder,10
380,Atypical femur fracture,2
381,Atypical fracture,1
382,Atypical mycobacterial infection,2
383,Atypical pneumonia,3
384,Aura,5
385,Auricular swelling,4
386,Autism,1
387,Autism spectrum disorder,1
388,Autoimmune disorder,39
389,Autoimmune haemolytic anaemia,8
390,Autoimmune hepatitis,4
391,Autoimmune thrombocytopenia,2
392,Automatism,1
393,Autonomic nervous system imbalance,23
394,Autonomic neuropathy,24
395,Axonal neuropathy,1
396,Azoospermia,39
397,Azotaemia,73
398,B-cell lymphoma,4
399,B-cell type acute leukaemia,1
400,BK virus infection,2
401,Back disorder,1
402,Back injury,4
403,Back pain,550
404,Bacteraemia,24
405,Bacterial disease carrier,5
406,Bacterial infection,60
407,Bacterial infections NEC,1
408,Bacterial prostatitis,1
409,Bacterial test positive,1
410,Bacteriuria,4
411,Balance disorder,73
412,Balanitis,16
413,Balanitis candida,2
414,Balanoposthitis,8
415,Band neutrophil count increased,1
416,Barium impaction,1
417,Barrett's oesophagus,4
418,Bartholin's cyst,1
419,Basal cell carcinoma,28
420,Basedow's disease,21
421,Basophilia,9
422,Beckwith-Wiedemann syndrome,1
423,Bedridden,2
424,Benign breast neoplasm,8
425,Benign gastrointestinal neoplasm,2
426,Benign hepatic neoplasm,1
427,Benign hydatidiform mole,2
428,Benign intracranial hypertension,42
429,Benign neoplasm,4
430,Benign neoplasm of skin,14
431,Benign prostatic hyperplasia,16
432,Benign vaginal neoplasm,1
433,Beta 2 microglobulin increased,1
434,Beta 2 microglobulin urine increased,1
435,Bezoar,4
436,Bicytopenia,1
